date,ad,cci10,aroon10_up,aroon10_down,volume,bbands5_middle_band,macd,stoch_slowd,adx10,close,macd_hist,rsi10,macd_signal,high,bbands5_upper_band,bbands5_lower_band,sma10,open,low,stoch_slowk,obv,ema10
2019-08-06,-3041278455.8669,-103.2909,30.0000,90.0000,32696700,135.6260,0.3470,28.7919,28.7127,134.6900,-0.9222,37.5122,1.2692,135.6800,141.7016,129.5504,138.3857,133.8000,133.2100,26.8288,-1905359600.0000,137.2058
2019-08-07,-3014333534.6215,-87.0597,20.0000,80.0000,33414500,135.4280,0.0331,29.3459,29.6332,135.2800,-0.9889,37.4867,1.0220,135.6500,141.4304,129.4256,137.8750,133.7900,131.8280,32.1576,-1871945100.0000,136.5847
2019-08-08,-2988634191.4842,15.2455,10.0000,70.0000,27496500,135.5940,0.0109,39.8352,27.7851,138.8900,-0.8088,48.4323,0.8197,138.9900,142.2937,128.8943,137.4920,136.6000,135.9300,60.5192,-1844448600.0000,136.5875
2019-08-09,-2992009538.7445,25.0119,0.0000,60.0000,23466700,135.7560,0.1538,55.7428,25.8488,137.7100,-0.5328,54.7318,0.6865,139.3800,142.8015,128.7105,137.3160,138.6100,136.4600,74.5516,-1867915300.0000,136.9552
2019-08-12,-3003889092.9429,-12.3961,0.0000,50.0000,20476600,136.4720,0.1411,70.7821,24.8264,135.7900,-0.4364,49.5761,0.5775,137.8600,141.2042,131.7398,136.8730,137.0700,135.2400,77.2754,-1888391900.0000,136.9761
2019-08-13,-2981382345.5745,47.1694,0.0000,40.0000,25154600,137.2540,0.0482,75.3552,23.1769,138.6000,-0.4234,46.3622,0.4716,138.8000,141.6500,132.8580,136.4640,136.0500,135.0000,74.2386,-1863237300.0000,136.8077
2019-08-14,-3007704437.5745,-48.9434,10.0000,30.0000,32527300,136.9940,-0.0005,66.9006,22.5194,133.9800,-0.3776,47.5113,0.3772,136.9200,142.5615,131.4265,136.0670,136.3600,133.6700,49.1879,-1895764600.0000,136.7263
2019-08-15,-3001318415.2569,-81.8607,0.0000,20.0000,28074400,135.9520,-0.1957,53.9374,22.7340,133.6800,-0.4583,41.2686,0.2626,134.5800,141.8276,130.0764,135.8060,134.3900,132.2500,38.3856,-1923839000.0000,136.3015
2019-08-16,-2986143111.8087,12.3220,50.0000,10.0000,24449100,135.6360,-0.3073,38.6047,21.3748,136.1300,-0.4560,43.3266,0.1486,136.4600,140.9387,130.3333,135.4850,134.8800,134.7200,28.2406,-1899389900.0000,136.0431
2019-08-19,-2965895575.2074,87.2278,40.0000,0.0000,24355700,136.1600,-0.1544,41.4686,19.7781,138.4100,-0.2424,54.1472,0.0880,138.5500,142.4414,129.8786,135.9400,137.8500,136.8900,57.7795,-1875034200.0000,136.3716
